#                                                                  --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name              accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------    -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k141_10858_2         -          pazy_proteins_cluster_1 -            1.2e-37  131.9   0.0   1.6e-37  131.4   0.0   1.0   1   0   0   1   1   1   1 # 459 # 1823 # -1 # ID=6379_2;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.617
k141_5964_201        -          pazy_proteins_cluster_1 -            3.9e-37  130.1   0.0   5.2e-37  129.7   0.0   1.1   1   0   0   1   1   1   1 # 189865 # 191268 # 1 # ID=1713_201;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.649
k141_3421_2          -          pazy_proteins_cluster_1 -            3.4e-36  127.0   0.0   4.5e-36  126.6   0.0   1.0   1   0   0   1   1   1   1 # 459 # 1823 # -1 # ID=3406_2;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.614
k141_9862_1          -          pazy_proteins_cluster_1 -            1.7e-31  111.5   0.0   2.3e-31  111.1   0.0   1.1   1   0   0   1   1   1   1 # 1 # 954 # 1 # ID=357_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.661
k141_10862_1         -          pazy_proteins_cluster_1 -            1.7e-31  111.5   0.0   2.3e-31  111.1   0.0   1.1   1   0   0   1   1   1   1 # 1 # 954 # 1 # ID=6394_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.672
k141_1535_425        -          pazy_proteins_cluster_1 -            1.9e-31  111.3   0.0   3.5e-31  110.5   0.0   1.3   1   1   0   1   1   1   1 # 449535 # 450926 # 1 # ID=880_425;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.621
k141_5823_5          -          pazy_proteins_cluster_1 -            2.4e-31  111.0   0.0   3.2e-30  107.3   0.0   2.0   1   1   0   1   1   1   1 # 5037 # 6383 # 1 # ID=841_5;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.660
k141_4326_12         -          pazy_proteins_cluster_1 -            9.7e-31  109.0   0.0   4.9e-26   93.5   0.0   2.0   2   0   0   2   2   2   2 # 9573 # 10952 # 1 # ID=775_12;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.657
k141_4663_3          -          pazy_proteins_cluster_1 -            8.2e-30  106.0   0.0   1.3e-29  105.3   0.0   1.5   1   1   0   1   1   1   1 # 1017 # 2387 # -1 # ID=2421_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.704
k141_2590_14         -          pazy_proteins_cluster_1 -            3.2e-29  104.0   0.0   4.3e-29  103.6   0.0   1.2   1   0   0   1   1   1   1 # 11834 # 13231 # 1 # ID=6789_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.701
k141_10558_33        -          pazy_proteins_cluster_1 -            5.2e-29  103.3   0.0   1.7e-27   98.4   0.0   2.0   2   0   0   2   2   2   1 # 37896 # 39242 # -1 # ID=3782_33;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.664
k141_9113_14         -          pazy_proteins_cluster_1 -            2.2e-27   98.0   0.0   9.2e-24   86.0   0.0   2.0   2   0   0   2   2   2   2 # 11047 # 12441 # 1 # ID=4645_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.703
k141_7154_139        -          pazy_proteins_cluster_1 -            2.4e-24   87.9   0.0   6.4e-23   83.2   0.0   2.0   2   0   0   2   2   2   1 # 149233 # 150582 # -1 # ID=778_139;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.689
k141_2668_60         -          pazy_proteins_cluster_1 -            1.3e-23   85.6   0.0   1.6e-23   85.2   0.0   1.1   1   0   0   1   1   1   1 # 62661 # 64049 # -1 # ID=7302_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.656
k141_10666_207       -          pazy_proteins_cluster_1 -            8.9e-21   76.2   0.0   1.2e-20   75.8   0.0   1.1   1   0   0   1   1   1   1 # 211409 # 212767 # -1 # ID=4539_207;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.675
k141_10661_2         -          pazy_proteins_cluster_1 -            5.1e-20   73.7   0.0   1.3e-19   72.4   0.0   1.5   2   0   0   2   2   2   1 # 323 # 1714 # -1 # ID=4242_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.657
k141_1272_401        -          pazy_proteins_cluster_1 -            1.8e-18   68.5   0.0   3.3e-18   67.7   0.0   1.3   2   0   0   2   2   2   1 # 373973 # 375373 # -1 # ID=6607_401;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.692
k141_2993_8          -          pazy_proteins_cluster_1 -            9.9e-07   29.8   0.0   4.3e-06   27.7   0.0   1.7   1   1   1   2   2   2   1 # 9514 # 10740 # -1 # ID=725_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
k141_10929_22        -          pazy_proteins_cluster_1 -            4.7e-06   27.6   0.0     8e-06   26.8   0.0   1.4   1   0   0   1   1   1   1 # 21855 # 23033 # 1 # ID=6863_22;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.690
k141_1535_552        -          pazy_proteins_cluster_1 -            5.7e-06   27.3   0.0   8.2e-06   26.8   0.0   1.1   1   0   0   1   1   1   1 # 586380 # 587630 # 1 # ID=880_552;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.529
k141_147_398         -          pazy_proteins_cluster_10 -            9.9e-08   33.1   1.0   2.7e-07   31.6   0.2   1.8   2   0   0   2   2   2   1 # 436809 # 437867 # -1 # ID=874_398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.568
k141_5362_13         -          pazy_proteins_cluster_10 -            2.9e-07   31.6   1.8   3.9e-07   31.1   1.8   1.1   1   0   0   1   1   1   1 # 10008 # 10853 # -1 # ID=5574_13;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.733
